Sale Month,Quantity_sum,Earnings (USD)_sum
2022-09-01,9525,32.94032731
2022-10-01,6646,21.788433129999998
2022-12-01,4420,14.890990269999996
2022-06-01,3503,14.38456714
2023-01-01,2870,6.988731520000004
2022-07-01,1831,6.810299150000001
2022-02-01,1881,5.6294201699999995
2023-03-01,1122,3.0138364399999995
2023-02-01,304,1.3873239800000001
2021-08-01,183,1.04594007
2022-03-01,164,0.7643088599999999
2021-05-01,104,0.5566846799999999
2022-11-01,60,0.50919309
2021-07-01,75,0.36498558
2021-06-01,74,0.34612039
2021-11-01,61,0.31236055
2021-09-01,63,0.3088276
2022-04-01,64,0.25415812
2022-01-01,41,0.20816044
2021-10-01,45,0.18939846
2021-12-01,28,0.12947531
2022-08-01,19,0.12186548
2022-05-01,24,0.11072511000000002
2021-04-01,3,0.014616019999999999
